Site_Index	Partition_Index	Rate_Category
1	1	4580
2	1	9671
3	1	224
4	1	6829
5	1	7053
6	1	4899
7	1	4113
8	1	5086
9	1	8991
10	1	3956
11	1	733
12	1	141
13	1	204
14	1	5343
15	1	9106
16	1	1715
17	1	7011
18	1	6565
19	1	1830
20	1	1772
21	1	4843
22	1	997
23	1	5005
24	1	5325
25	1	8153
26	1	5415
27	1	7137
28	1	6402
29	1	2248
30	1	8429
31	1	8950
32	1	5968
33	1	4877
34	1	7827
35	1	8626
36	1	5241
37	1	8284
38	1	9639
39	1	7029
40	1	7821
41	1	3726
42	1	8039
43	1	5066
44	1	5437
45	1	4387
46	1	930
47	1	5932
48	1	9870
49	1	6381
50	1	9254
51	1	4887
52	1	4142
53	1	3533
54	1	5300
55	1	6854
56	1	2334
57	1	5245
58	1	8504
59	1	1825
60	1	6605
61	1	7033
62	1	9144
63	1	2144
64	1	2815
65	1	4249
66	1	122
67	1	750
68	1	7982
69	1	3657
70	1	9165
71	1	5634
72	1	1939
73	1	9075
74	1	3131
75	1	9912
76	1	2840
77	1	5234
78	1	2673
79	1	8212
80	1	3306
81	1	1713
82	1	4751
83	1	8198
84	1	8501
85	1	4983
86	1	8469
87	1	9304
88	1	571
89	1	9935
90	1	9189
91	1	1202
92	1	5576
93	1	9392
94	1	2228
95	1	7813
96	1	8544
97	1	9913
98	1	6145
99	1	3047
100	1	5466
