Site_Index	Rate_Probability	dN	dS
1	0.0044	1.0	1.1
2	0.0044	0.2	0.9
3	0.0044	1.3	0.9
4	0.0044	1.1	1.2
5	0.0044	0.5	0.1
6	0.0044	1.3	1.5
7	0.0044	0.4	1.0
8	0.0044	1.2	1.0
9	0.0044	0.5	0.5
10	0.0044	1.5	1.3
11	0.0044	1.3	0.7
12	0.0044	0.7	0.4
13	0.0044	1.1	0.8
14	0.0044	0.2	0.3
15	0.0044	0.2	0.8
16	0.0044	0.6	0.9
17	0.0044	0.4	0.2
18	0.0044	1.3	0.5
19	0.0044	1.1	1.4
20	0.0044	0.8	1.1
21	0.0044	1.1	0.5
22	0.0044	1.1	0.1
23	0.0044	1.5	1.5
24	0.0044	0.8	0.6
25	0.0044	0.5	1.4
26	0.0044	0.3	1.5
27	0.0044	0.9	0.9
28	0.0044	1.4	0.2
29	0.0044	1.2	0.5
30	0.0044	1.3	0.6
31	0.0044	1.4	0.3
32	0.0044	0.5	1.1
33	0.0044	1.4	1.3
34	0.0044	0.9	1.5
35	0.0044	1.5	1.4
36	0.0044	0.5	0.3
37	0.0044	0.1	0.4
38	0.0044	1.1	0.9
39	0.0044	0.5	0.5
40	0.0044	1.1	0.6
41	0.0044	0.1	1.4
42	0.0044	1.2	0.5
43	0.0044	0.2	1.5
44	0.0044	0.5	1.0
45	0.0044	1.3	0.4
46	0.0044	1.5	1.5
47	0.0044	0.1	0.9
48	0.0044	0.4	1.1
49	0.0044	1.2	0.8
50	0.0044	0.2	1.3
51	0.0044	0.5	0.7
52	0.0044	0.8	1.0
53	0.0044	0.9	1.0
54	0.0044	0.7	1.0
55	0.0044	1.1	1.0
56	0.0044	0.8	1.5
57	0.0044	0.1	0.5
58	0.0044	0.1	0.2
59	0.0044	1.0	0.1
60	0.0044	0.8	0.6
61	0.0044	0.5	0.5
62	0.0044	0.9	0.5
63	0.0044	0.1	1.0
64	0.0044	0.8	1.5
65	0.0044	1.2	0.6
66	0.0044	1.3	0.9
67	0.0044	0.5	1.0
68	0.0044	0.3	1.0
69	0.0044	0.4	1.3
70	0.0044	0.9	1.1
71	0.0044	0.7	0.4
72	0.0044	1.3	0.7
73	0.0044	1.0	0.8
74	0.0044	1.1	1.2
75	0.0044	0.2	1.0
76	0.0044	0.4	1.1
77	0.0044	1.5	1.1
78	0.0044	0.8	1.3
79	0.0044	0.1	1.1
80	0.0044	0.4	1.1
81	0.0044	1.1	0.7
82	0.0044	1.0	0.7
83	0.0044	0.8	0.5
84	0.0044	0.3	0.1
85	0.0044	0.6	0.8
86	0.0044	1.1	0.2
87	0.0044	0.1	0.6
88	0.0044	0.6	0.6
89	0.0044	1.2	1.5
90	0.0044	0.5	0.6
91	0.0044	0.4	1.1
92	0.0044	1.1	0.4
93	0.0044	0.4	0.9
94	0.0044	1.5	0.3
95	0.0044	0.5	1.4
96	0.0044	0.3	0.9
97	0.0044	0.4	0.3
98	0.0044	0.4	1.0
99	0.0044	0.8	0.8
100	0.0044	1.5	1.0
