Site_Index	Rate_Probability	dN	dS
1	0.0044	0.9	0.5
2	0.0044	0.7	1.5
3	0.0044	0.9	0.4
4	0.0044	0.2	0.3
5	0.0044	0.4	0.4
6	0.0044	0.5	1.5
7	0.0044	0.5	0.7
8	0.0044	0.9	0.2
9	0.0044	0.7	0.2
10	0.0044	0.6	0.1
11	0.0044	0.4	0.6
12	0.0044	0.5	1.4
13	0.0044	0.9	0.1
14	0.0044	1.5	0.2
15	0.0044	1.0	0.3
16	0.0044	0.5	0.7
17	0.0044	0.7	1.1
18	0.0044	0.5	0.8
19	0.0044	1.1	1.4
20	0.0044	0.2	0.3
21	0.0044	1.4	0.1
22	0.0044	0.2	1.4
23	0.0044	0.8	0.1
24	0.0044	0.4	1.2
25	0.0044	1.3	0.2
26	0.0044	1.1	1.5
27	0.0044	0.9	0.5
28	0.0044	0.7	1.0
29	0.0044	0.3	0.7
30	0.0044	0.9	0.9
31	0.0044	1.2	1.1
32	0.0044	1.2	0.1
33	0.0044	0.4	0.3
34	0.0044	0.5	1.4
35	0.0044	1.2	1.1
36	0.0044	0.7	0.2
37	0.0044	0.5	0.6
38	0.0044	1.2	1.0
39	0.0044	0.1	1.0
40	0.0044	1.2	0.9
41	0.0044	0.4	1.4
42	0.0044	0.1	0.4
43	0.0044	1.4	0.4
44	0.0044	0.3	0.9
45	0.0044	0.8	1.0
46	0.0044	1.0	1.3
47	0.0044	0.8	0.9
48	0.0044	0.5	1.5
49	0.0044	0.2	0.9
50	0.0044	1.5	0.4
51	0.0044	0.6	0.4
52	0.0044	1.5	0.5
53	0.0044	0.1	1.2
54	0.0044	1.0	0.4
55	0.0044	0.7	0.1
56	0.0044	1.1	0.6
57	0.0044	1.5	0.1
58	0.0044	0.4	0.2
59	0.0044	1.4	0.8
60	0.0044	1.5	0.3
61	0.0044	0.2	0.4
62	0.0044	0.9	0.9
63	0.0044	1.3	0.8
64	0.0044	0.1	0.6
65	0.0044	1.0	0.8
66	0.0044	0.7	1.0
67	0.0044	1.5	0.1
68	0.0044	0.6	0.1
69	0.0044	0.2	0.2
70	0.0044	0.9	1.2
71	0.0044	1.5	1.5
72	0.0044	1.5	1.5
73	0.0044	1.3	0.3
74	0.0044	1.5	0.3
75	0.0044	1.4	0.7
76	0.0044	0.7	0.8
77	0.0044	1.3	0.5
78	0.0044	0.6	0.4
79	0.0044	0.6	0.4
80	0.0044	0.3	1.2
81	0.0044	0.9	0.5
82	0.0044	0.6	1.1
83	0.0044	1.2	0.2
84	0.0044	0.6	0.5
85	0.0044	1.0	0.4
86	0.0044	1.5	1.4
87	0.0044	1.0	1.3
88	0.0044	1.0	0.6
89	0.0044	0.9	0.3
90	0.0044	0.2	0.2
91	0.0044	0.2	0.3
92	0.0044	0.6	1.5
93	0.0044	0.1	0.8
94	0.0044	0.2	0.5
95	0.0044	0.2	0.3
96	0.0044	1.0	0.6
97	0.0044	0.7	0.6
98	0.0044	0.1	1.5
99	0.0044	0.5	0.2
100	0.0044	0.6	0.3
