Site_Index	Rate_Probability	dN	dS
1	0.0044	0.9	0.6
2	0.0044	1.4	1.3
3	0.0044	0.5	0.8
4	0.0044	0.9	1.4
5	0.0044	1.4	0.6
6	0.0044	0.3	0.5
7	0.0044	1.5	1.5
8	0.0044	0.1	0.7
9	0.0044	0.7	1.5
10	0.0044	0.2	1.1
11	0.0044	1.0	0.8
12	0.0044	0.5	1.2
13	0.0044	1.4	0.8
14	0.0044	1.1	0.2
15	0.0044	0.4	0.6
16	0.0044	0.5	0.4
17	0.0044	0.2	0.6
18	0.0044	1.5	0.2
19	0.0044	0.5	1.1
20	0.0044	1.5	0.3
21	0.0044	0.2	1.4
22	0.0044	0.7	1.0
23	0.0044	1.0	0.7
24	0.0044	0.6	0.2
25	0.0044	1.5	1.3
26	0.0044	1.4	0.2
27	0.0044	1.4	0.7
28	0.0044	0.5	1.0
29	0.0044	0.6	0.4
30	0.0044	1.3	1.2
31	0.0044	1.5	0.2
32	0.0044	0.1	0.1
33	0.0044	0.6	1.3
34	0.0044	0.6	1.2
35	0.0044	0.5	0.2
36	0.0044	0.1	0.1
37	0.0044	0.7	0.1
38	0.0044	0.9	0.2
39	0.0044	1.0	0.3
40	0.0044	0.4	0.9
41	0.0044	0.4	0.9
42	0.0044	1.1	1.5
43	0.0044	0.6	0.1
44	0.0044	1.1	1.1
45	0.0044	1.1	0.1
46	0.0044	0.3	1.0
47	0.0044	0.1	1.3
48	0.0044	1.3	0.9
49	0.0044	1.0	1.5
50	0.0044	0.5	0.8
51	0.0044	1.3	0.3
52	0.0044	0.7	0.4
53	0.0044	1.1	1.5
54	0.0044	0.9	0.8
55	0.0044	0.6	1.2
56	0.0044	0.8	0.6
57	0.0044	0.5	1.1
58	0.0044	0.5	0.7
59	0.0044	0.8	0.1
60	0.0044	1.1	1.3
61	0.0044	1.4	0.6
62	0.0044	1.0	1.3
63	0.0044	0.1	0.5
64	0.0044	1.4	0.2
65	0.0044	0.4	0.5
66	0.0044	0.5	1.5
67	0.0044	0.8	1.1
68	0.0044	0.5	0.9
69	0.0044	0.5	0.2
70	0.0044	0.6	1.4
71	0.0044	0.9	1.3
72	0.0044	0.4	0.3
73	0.0044	0.8	0.7
74	0.0044	0.1	0.8
75	0.0044	1.0	0.8
76	0.0044	1.4	1.0
77	0.0044	1.4	1.4
78	0.0044	0.7	0.4
79	0.0044	0.7	0.4
80	0.0044	0.3	0.4
81	0.0044	0.9	1.5
82	0.0044	0.7	0.2
83	0.0044	1.3	1.5
84	0.0044	0.3	1.0
85	0.0044	1.3	1.0
86	0.0044	1.3	1.5
87	0.0044	1.3	0.3
88	0.0044	0.2	1.0
89	0.0044	0.2	0.8
90	0.0044	0.8	0.2
91	0.0044	1.5	1.0
92	0.0044	0.1	1.4
93	0.0044	0.6	0.3
94	0.0044	1.1	0.4
95	0.0044	0.7	0.3
96	0.0044	0.4	0.7
97	0.0044	1.5	1.0
98	0.0044	0.4	0.3
99	0.0044	1.4	1.1
100	0.0044	1.4	0.2
