Partition_Index	Model_Name	Rate_Category	Rate_Probability	Rate_Factor
1	None	1	0.0044	0.1,0.1
1	None	2	0.0044	0.2,0.1
1	None	3	0.0044	0.3,0.1
1	None	4	0.0044	0.4,0.1
1	None	5	0.0044	0.5,0.1
1	None	6	0.0044	0.6,0.1
1	None	7	0.0044	0.7,0.1
1	None	8	0.0044	0.8,0.1
1	None	9	0.0044	0.9,0.1
1	None	10	0.0044	1.0,0.1
1	None	11	0.0044	1.1,0.1
1	None	12	0.0044	1.2,0.1
1	None	13	0.0044	1.3,0.1
1	None	14	0.0044	1.4,0.1
1	None	15	0.0044	1.5,0.1
1	None	16	0.0044	0.1,0.2
1	None	17	0.0044	0.2,0.2
1	None	18	0.0044	0.3,0.2
1	None	19	0.0044	0.4,0.2
1	None	20	0.0044	0.5,0.2
1	None	21	0.0044	0.6,0.2
1	None	22	0.0044	0.7,0.2
1	None	23	0.0044	0.8,0.2
1	None	24	0.0044	0.9,0.2
1	None	25	0.0044	1.0,0.2
1	None	26	0.0044	1.1,0.2
1	None	27	0.0044	1.2,0.2
1	None	28	0.0044	1.3,0.2
1	None	29	0.0044	1.4,0.2
1	None	30	0.0044	1.5,0.2
1	None	31	0.0044	0.1,0.3
1	None	32	0.0044	0.2,0.3
1	None	33	0.0044	0.3,0.3
1	None	34	0.0044	0.4,0.3
1	None	35	0.0044	0.5,0.3
1	None	36	0.0044	0.6,0.3
1	None	37	0.0044	0.7,0.3
1	None	38	0.0044	0.8,0.3
1	None	39	0.0044	0.9,0.3
1	None	40	0.0044	1.0,0.3
1	None	41	0.0044	1.1,0.3
1	None	42	0.0044	1.2,0.3
1	None	43	0.0044	1.3,0.3
1	None	44	0.0044	1.4,0.3
1	None	45	0.0044	1.5,0.3
1	None	46	0.0044	0.1,0.4
1	None	47	0.0044	0.2,0.4
1	None	48	0.0044	0.3,0.4
1	None	49	0.0044	0.4,0.4
1	None	50	0.0044	0.5,0.4
1	None	51	0.0044	0.6,0.4
1	None	52	0.0044	0.7,0.4
1	None	53	0.0044	0.8,0.4
1	None	54	0.0044	0.9,0.4
1	None	55	0.0044	1.0,0.4
1	None	56	0.0044	1.1,0.4
1	None	57	0.0044	1.2,0.4
1	None	58	0.0044	1.3,0.4
1	None	59	0.0044	1.4,0.4
1	None	60	0.0044	1.5,0.4
1	None	61	0.0044	0.1,0.5
1	None	62	0.0044	0.2,0.5
1	None	63	0.0044	0.3,0.5
1	None	64	0.0044	0.4,0.5
1	None	65	0.0044	0.5,0.5
1	None	66	0.0044	0.6,0.5
1	None	67	0.0044	0.7,0.5
1	None	68	0.0044	0.8,0.5
1	None	69	0.0044	0.9,0.5
1	None	70	0.0044	1.0,0.5
1	None	71	0.0044	1.1,0.5
1	None	72	0.0044	1.2,0.5
1	None	73	0.0044	1.3,0.5
1	None	74	0.0044	1.4,0.5
1	None	75	0.0044	1.5,0.5
1	None	76	0.0044	0.1,0.6
1	None	77	0.0044	0.2,0.6
1	None	78	0.0044	0.3,0.6
1	None	79	0.0044	0.4,0.6
1	None	80	0.0044	0.5,0.6
1	None	81	0.0044	0.6,0.6
1	None	82	0.0044	0.7,0.6
1	None	83	0.0044	0.8,0.6
1	None	84	0.0044	0.9,0.6
1	None	85	0.0044	1.0,0.6
1	None	86	0.0044	1.1,0.6
1	None	87	0.0044	1.2,0.6
1	None	88	0.0044	1.3,0.6
1	None	89	0.0044	1.4,0.6
1	None	90	0.0044	1.5,0.6
1	None	91	0.0044	0.1,0.7
1	None	92	0.0044	0.2,0.7
1	None	93	0.0044	0.3,0.7
1	None	94	0.0044	0.4,0.7
1	None	95	0.0044	0.5,0.7
1	None	96	0.0044	0.6,0.7
1	None	97	0.0044	0.7,0.7
1	None	98	0.0044	0.8,0.7
1	None	99	0.0044	0.9,0.7
1	None	100	0.0044	1.0,0.7
1	None	101	0.0044	1.1,0.7
1	None	102	0.0044	1.2,0.7
1	None	103	0.0044	1.3,0.7
1	None	104	0.0044	1.4,0.7
1	None	105	0.0044	1.5,0.7
1	None	106	0.0044	0.1,0.8
1	None	107	0.0044	0.2,0.8
1	None	108	0.0044	0.3,0.8
1	None	109	0.0044	0.4,0.8
1	None	110	0.0044	0.5,0.8
1	None	111	0.0044	0.6,0.8
1	None	112	0.0044	0.7,0.8
1	None	113	0.0044	0.8,0.8
1	None	114	0.0044	0.9,0.8
1	None	115	0.0044	1.0,0.8
1	None	116	0.0044	1.1,0.8
1	None	117	0.0044	1.2,0.8
1	None	118	0.0044	1.3,0.8
1	None	119	0.0044	1.4,0.8
1	None	120	0.0044	1.5,0.8
1	None	121	0.0044	0.1,0.9
1	None	122	0.0044	0.2,0.9
1	None	123	0.0044	0.3,0.9
1	None	124	0.0044	0.4,0.9
1	None	125	0.0044	0.5,0.9
1	None	126	0.0044	0.6,0.9
1	None	127	0.0044	0.7,0.9
1	None	128	0.0044	0.8,0.9
1	None	129	0.0044	0.9,0.9
1	None	130	0.0044	1.0,0.9
1	None	131	0.0044	1.1,0.9
1	None	132	0.0044	1.2,0.9
1	None	133	0.0044	1.3,0.9
1	None	134	0.0044	1.4,0.9
1	None	135	0.0044	1.5,0.9
1	None	136	0.0044	0.1,1.0
1	None	137	0.0044	0.2,1.0
1	None	138	0.0044	0.3,1.0
1	None	139	0.0044	0.4,1.0
1	None	140	0.0044	0.5,1.0
1	None	141	0.0044	0.6,1.0
1	None	142	0.0044	0.7,1.0
1	None	143	0.0044	0.8,1.0
1	None	144	0.0044	0.9,1.0
1	None	145	0.0044	1.0,1.0
1	None	146	0.0044	1.1,1.0
1	None	147	0.0044	1.2,1.0
1	None	148	0.0044	1.3,1.0
1	None	149	0.0044	1.4,1.0
1	None	150	0.0044	1.5,1.0
1	None	151	0.0044	0.1,1.1
1	None	152	0.0044	0.2,1.1
1	None	153	0.0044	0.3,1.1
1	None	154	0.0044	0.4,1.1
1	None	155	0.0044	0.5,1.1
1	None	156	0.0044	0.6,1.1
1	None	157	0.0044	0.7,1.1
1	None	158	0.0044	0.8,1.1
