Site_Index	Partition_Index	Rate_Category
1	1	13
2	1	13
3	1	8
4	1	4
5	1	7
6	1	2
7	1	6
8	1	3
9	1	9
10	1	5
11	1	10
12	1	9
13	1	8
14	1	6
15	1	2
16	1	1
17	1	12
18	1	1
19	1	11
20	1	15
21	1	11
22	1	6
23	1	12
24	1	6
25	1	8
26	1	12
27	1	3
28	1	14
29	1	9
30	1	14
31	1	12
32	1	3
33	1	14
34	1	13
35	1	4
36	1	2
37	1	5
38	1	4
39	1	15
40	1	8
41	1	14
42	1	4
43	1	15
44	1	8
45	1	10
46	1	2
47	1	15
48	1	9
49	1	6
50	1	5
51	1	10
52	1	2
53	1	7
54	1	1
55	1	13
56	1	13
57	1	4
58	1	15
59	1	12
60	1	5
61	1	7
62	1	4
63	1	7
64	1	3
65	1	10
66	1	7
67	1	13
68	1	8
69	1	2
70	1	7
71	1	1
72	1	12
73	1	4
74	1	2
75	1	14
76	1	2
77	1	13
78	1	13
79	1	4
80	1	11
81	1	7
82	1	14
83	1	2
84	1	5
85	1	10
86	1	13
87	1	13
88	1	6
89	1	12
90	1	13
91	1	1
92	1	1
93	1	6
94	1	1
95	1	11
96	1	13
97	1	1
98	1	11
99	1	9
100	1	6
