"ntaxa","bl","method","rep","estbias1","r1","estbias2","r2","type"
128,0.0025,"FEL1",1,0.831656,0.222481,0.831656,0.222481,"nobias"
128,0.0025,"FEL1",2,0.721772,0.285543,0.721772,0.285543,"nobias"
128,0.0025,"FEL1",3,1.5628,0.239548,1.5628,0.239548,"nobias"
128,0.0025,"FEL1",4,1.40008,0.177777,1.40008,0.177777,"nobias"
128,0.0025,"FEL1",5,0.484547,0.216691,0.484547,0.216691,"nobias"
128,0.0025,"FEL1",6,0.575105,0.372103,0.575105,0.372103,"nobias"
128,0.0025,"FEL1",7,2.18665,0.565044,2.18665,0.565044,"nobias"
128,0.0025,"FEL1",8,1.35989,0.251332,1.35989,0.251332,"nobias"
128,0.0025,"FEL1",9,1.03185,0.356884,1.03185,0.356884,"nobias"
128,0.0025,"FEL1",10,1.18677,0.289302,1.18677,0.289302,"nobias"
128,0.0025,"FEL1",11,4.55033,0.334194,4.55033,0.334194,"nobias"
128,0.0025,"FEL1",12,1.16925,0.171659,1.16925,0.171659,"nobias"
128,0.0025,"FEL1",13,1.23716,0.40391,1.23716,0.40391,"nobias"
128,0.0025,"FEL1",14,0.311921,0.0914117,0.311921,0.0914117,"nobias"
128,0.0025,"FEL1",15,2.01601,0.260614,2.01601,0.260614,"nobias"
128,0.0025,"FEL1",16,1.48562,0.509801,1.48562,0.509801,"nobias"
128,0.0025,"FEL1",17,0.49121,0.368626,0.49121,0.368626,"nobias"
128,0.0025,"FEL1",18,1.25336,0.218031,1.25336,0.218031,"nobias"
128,0.0025,"FEL1",19,1.14313,0.0887543,1.14313,0.0887543,"nobias"
128,0.0025,"FEL1",20,0.780264,0.0940841,0.780264,0.0940841,"nobias"
128,0.0025,"FEL1",21,1.18446,0.375487,1.18446,0.375487,"nobias"
128,0.0025,"FEL1",22,2.20124,0.42078,2.20124,0.42078,"nobias"
128,0.0025,"FEL1",23,0.943437,0.352823,0.943437,0.352823,"nobias"
128,0.0025,"FEL1",24,2.33697,0.201867,2.33697,0.201867,"nobias"
128,0.0025,"FEL1",25,0.912711,0.264967,0.912711,0.264967,"nobias"
128,0.0025,"FEL1",26,1.24691,0.340311,1.24691,0.340311,"nobias"
128,0.0025,"FEL1",27,1.97897,-0.0213025,1.97897,-0.0213025,"nobias"
128,0.0025,"FEL1",28,1.56969,0.29217,1.56969,0.29217,"nobias"
128,0.0025,"FEL1",29,1.44417,0.129752,1.44417,0.129752,"nobias"
128,0.0025,"FEL1",30,0.912649,0.380633,0.912649,0.380633,"nobias"
128,0.0025,"FEL1",31,0.804316,0.424206,0.804316,0.424206,"nobias"
128,0.0025,"FEL1",32,0.515694,0.112852,0.515694,0.112852,"nobias"
128,0.0025,"FEL1",33,1.16345,0.414411,1.16345,0.414411,"nobias"
128,0.0025,"FEL1",34,0.588026,0.292722,0.588026,0.292722,"nobias"
128,0.0025,"FEL1",35,0.458862,0.257452,0.458862,0.257452,"nobias"
128,0.0025,"FEL1",36,0.585276,0.342122,0.585276,0.342122,"nobias"
128,0.0025,"FEL1",37,1.72252,0.158414,1.72252,0.158414,"nobias"
128,0.0025,"FEL1",38,0.951954,0.279427,0.951954,0.279427,"nobias"
128,0.0025,"FEL1",39,2.25882,0.122933,2.25882,0.122933,"nobias"
128,0.0025,"FEL1",40,0.765026,0.750478,0.765026,0.750478,"nobias"
128,0.0025,"FEL1",41,1.503,0.120113,1.503,0.120113,"nobias"
128,0.0025,"FEL1",42,0.948958,0.178047,0.948958,0.178047,"nobias"
128,0.0025,"FEL1",43,1.99024,0.305217,1.99024,0.305217,"nobias"
128,0.0025,"FEL1",44,0.583456,0.0599569,0.583456,0.0599569,"nobias"
128,0.0025,"FEL1",45,0.537761,0.369866,0.537761,0.369866,"nobias"
128,0.0025,"FEL1",46,1.01492,0.322041,1.01492,0.322041,"nobias"
128,0.0025,"FEL1",47,1.32469,0.587072,1.32469,0.587072,"nobias"
128,0.0025,"FEL1",48,0.864948,0.427229,0.864948,0.427229,"nobias"
128,0.0025,"FEL1",49,1.09782,0.122046,1.09782,0.122046,"nobias"
128,0.0025,"FEL1",50,4.29224,0.327681,4.29224,0.327681,"nobias"
128,0.0025,"FEL2",1,-0.460668,0.272298,-0.460668,0.272298,"nobias"
128,0.0025,"FEL2",2,-0.412377,-0.00710466,-0.412377,-0.00710466,"nobias"
128,0.0025,"FEL2",3,-0.415057,0.456959,-0.415057,0.456959,"nobias"
128,0.0025,"FEL2",4,-0.38373,-0.00842861,-0.38373,-0.00842861,"nobias"
128,0.0025,"FEL2",5,-0.372313,0.123649,-0.372313,0.123649,"nobias"
128,0.0025,"FEL2",6,-0.512202,0.0859491,-0.512202,0.0859491,"nobias"
128,0.0025,"FEL2",7,-0.300285,0.625812,-0.300285,0.625812,"nobias"
